"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","no","exp_id","condition","item_type","item_id","is_practice","word","word_index","word_count","too_fast","correct_answer","response_label","correct"
"[{""page_index"":0,""viewing_time"":1177},{""page_index"":1,""viewing_time"":932},{""page_index"":2,""viewing_time"":594}]","2704","instructions","instructions","0","2697","0.0-0.0","yfgo0h4h","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1","3200","0.0-1.0","yfgo0h4h","<span class=""fixation"">+</span>","null","P1","practice","practice","practice","p1","1","","","","","","",""
"","21","prompt","html-keyboard-response","2","3222","0.0-2.0","yfgo0h4h","<div class=""spr-display"">--- --- --- -- --- ----</div>
                   <p style=""font-size:18px; color:#555; margin-top:20px;"">
                     Press <span class=""key-label"">SPACE</span> to begin reading.
                   </p>"," ","P1","practice","practice","practice","p1","1","","","","","","",""
"","159","spr_word","html-keyboard-response","3","3381","0.0-3.0","yfgo0h4h","<div class=""spr-display"">The --- --- -- --- ----</div>"," ","P1","practice","practice","practice","p1","1","The","0","6","false","","",""
"","162","spr_word","html-keyboard-response","4","3544","0.0-4.0","yfgo0h4h","<div class=""spr-display"">The cat --- -- --- ----</div>"," ","P1","practice","practice","practice","p1","1","cat","1","6","false","","",""
"","155","spr_word","html-keyboard-response","5","3700","0.0-5.0","yfgo0h4h","<div class=""spr-display"">The cat sat -- --- ----</div>"," ","P1","practice","practice","practice","p1","1","sat","2","6","false","","",""
"","156","spr_word","html-keyboard-response","6","3857","0.0-6.0","yfgo0h4h","<div class=""spr-display"">The cat sat on --- ----</div>"," ","P1","practice","practice","practice","p1","1","on","3","6","false","","",""
"","163","spr_word","html-keyboard-response","7","4021","0.0-7.0","yfgo0h4h","<div class=""spr-display"">The cat sat on the ----</div>"," ","P1","practice","practice","practice","p1","1","the","4","6","false","","",""
"","167","spr_word","html-keyboard-response","8","4189","0.0-8.0","yfgo0h4h","<div class=""spr-display"">The cat sat on the mat.</div>"," ","P1","practice","practice","practice","p1","1","mat.","5","6","false","","",""
"","660","comprehension","html-keyboard-response","9","4848","0.0-9.0","yfgo0h4h","<div class=""comprehension-box"">
                      <p>Was there an animal mentioned in the sentence?</p>
                      <p>Press <span class=""key-label"">F</span> for <strong>Yes</strong> &nbsp;|&nbsp;
                        Press <span class=""key-label"">J</span> for <strong>No</strong></p>
                    </div>","f","P1","practice","practice","practice","p1","1","","","","","f","Yes","true"
"","312","feedback","html-keyboard-response","10","5161","0.0-10.0","yfgo0h4h","<div class=""comprehension-box"">
                      <p class=""feedback-correct"">Correct!</p>
                      <p style=""margin-top:20px; font-size:16px; color:#555;"">
                        Press <span class=""key-label"">SPACE</span> to continue.
                      </p>
                    </div>"," ","P1","practice","practice","practice","p1","1","","","","","","",""
"","null","fixation","html-keyboard-response","11","5663","0.0-11.0","yfgo0h4h","<span class=""fixation"">+</span>","null","P2","practice","practice","practice","p2","1","","","","","","",""
"","104","prompt","html-keyboard-response","12","5768","0.0-12.0","yfgo0h4h","<div class=""spr-display"">--- ------ - --- ----- -- --- -------</div>
                   <p style=""font-size:18px; color:#555; margin-top:20px;"">
                     Press <span class=""key-label"">SPACE</span> to begin reading.
                   </p>"," ","P2","practice","practice","practice","p2","1","","","","","","",""
"","160","spr_word","html-keyboard-response","13","5929","0.0-13.0","yfgo0h4h","<div class=""spr-display"">She ------ - --- ----- -- --- -------</div>"," ","P2","practice","practice","practice","p2","1","She","0","8","false","","",""
"","168","spr_word","html-keyboard-response","14","6097","0.0-14.0","yfgo0h4h","<div class=""spr-display"">She bought - --- ----- -- --- -------</div>"," ","P2","practice","practice","practice","p2","1","bought","1","8","false","","",""
"","162","spr_word","html-keyboard-response","15","6259","0.0-15.0","yfgo0h4h","<div class=""spr-display"">She bought a --- ----- -- --- -------</div>"," ","P2","practice","practice","practice","p2","1","a","2","8","false","","",""
"","142","spr_word","html-keyboard-response","16","6401","0.0-16.0","yfgo0h4h","<div class=""spr-display"">She bought a red ----- -- --- -------</div>"," ","P2","practice","practice","practice","p2","1","red","3","8","false","","",""
"","168","spr_word","html-keyboard-response","17","6570","0.0-17.0","yfgo0h4h","<div class=""spr-display"">She bought a red dress -- --- -------</div>"," ","P2","practice","practice","practice","p2","1","dress","4","8","false","","",""
"","172","spr_word","html-keyboard-response","18","6743","0.0-18.0","yfgo0h4h","<div class=""spr-display"">She bought a red dress at --- -------</div>"," ","P2","practice","practice","practice","p2","1","at","5","8","false","","",""
"","168","spr_word","html-keyboard-response","19","6911","0.0-19.0","yfgo0h4h","<div class=""spr-display"">She bought a red dress at the -------</div>"," ","P2","practice","practice","practice","p2","1","the","6","8","false","","",""
"","169","spr_word","html-keyboard-response","20","7081","0.0-20.0","yfgo0h4h","<div class=""spr-display"">She bought a red dress at the market.</div>"," ","P2","practice","practice","practice","p2","1","market.","7","8","false","","",""
"","370","comprehension","html-keyboard-response","21","7452","0.0-21.0","yfgo0h4h","<div class=""comprehension-box"">
                      <p>Did she buy something blue?</p>
                      <p>Press <span class=""key-label"">F</span> for <strong>Yes</strong> &nbsp;|&nbsp;
                        Press <span class=""key-label"">J</span> for <strong>No</strong></p>
                    </div>","f","P2","practice","practice","practice","p2","1","","","","","j","Yes","false"
"","223","feedback","html-keyboard-response","22","7675","0.0-22.0","yfgo0h4h","<div class=""comprehension-box"">
                      <p class=""feedback-incorrect"">Incorrect</p>
                      <p style=""font-size:18px;"">The correct answer was <strong>No</strong>.</p>
                      <p style=""margin-top:20px; font-size:16px; color:#555;"">
                        Press <span class=""key-label"">SPACE</span> to continue.
                      </p>
                    </div>"," ","P2","practice","practice","practice","p2","1","","","","","","",""
"","null","fixation","html-keyboard-response","23","8176","0.0-23.0","yfgo0h4h","<span class=""fixation"">+</span>","null","P3","practice","practice","practice","p3","1","","","","","","",""
